area_id,centroid_x,centroid_y,time_bin,crime_count,year,month
37,1175334.896725607,1873799.9673749614,2001-05-01,159,2001,5
38,1179293.9300989718,1875240.8957496388,2001-05-01,860,2001,5
39,1185215.7152495903,1873821.3589570147,2001-05-01,235,2001,5
40,1179336.8364875505,1867737.225510901,2001-05-01,488,2001,5
41,1186318.0364974132,1868427.9125587565,2001-05-01,302,2001,5
42,1185652.6763233524,1862878.1135765524,2001-05-01,715,2001,5
43,1191748.143530457,1856627.1394431274,2001-05-01,1373,2001,5
44,1180030.3224386035,1848738.0951337416,2001-05-01,825,2001,5
45,1188101.853103473,1850262.1723165894,2001-05-01,192,2001,5
46,1197641.3941914532,1849269.397799384,2001-05-01,790,2001,5
47,1185388.0780622198,1844401.7278814055,2001-05-01,64,2001,5
48,1191868.593139188,1845002.6713110155,2001-05-01,207,2001,5
49,1178112.5798496811,1836471.3544372986,2001-05-01,995,2001,5
50,1184970.746915072,1836360.4899814639,2001-05-01,191,2001,5
51,1192720.4756234041,1830782.2232708456,2001-05-01,223,2001,5
52,1202266.0613786809,1836946.5777759908,2001-05-01,223,2001,5
53,1174830.6278669012,1824503.5080535645,2001-05-01,610,2001,5
54,1183858.98899117,1819591.7650869673,2001-05-01,234,2001,5
55,1199233.7154282685,1819872.1287698066,2001-05-01,83,2001,5
56,1139429.1895410677,1868834.425853946,2001-05-01,435,2001,5
57,1149720.1452195724,1874259.0310946703,2001-05-01,113,2001,5
58,1157200.3733474382,1876677.085333102,2001-05-01,395,2001,5
59,1164350.1650247623,1881306.622101333,2001-05-01,191,2001,5
60,1170795.2226652165,1883626.6359742072,2001-05-01,290,2001,5
61,1168044.5029453787,1873717.5265209724,2001-05-01,929,2001,5
62,1150353.88820166,1867741.5986535647,2001-05-01,119,2001,5
63,1157920.791905841,1868688.7831583412,2001-05-01,332,2001,5
64,1138304.9116959611,1862776.6159634923,2001-05-01,190,2001,5
65,1149671.3394004735,1859281.0512146184,2001-05-01,265,2001,5
66,1158194.1827721328,1860097.1885204061,2001-05-01,886,2001,5
67,1166112.494391112,1861644.157359324,2001-05-01,1032,2001,5
68,1172682.1108629822,1862157.8824890652,2001-05-01,1117,2001,5
69,1179915.415523343,1857133.6761266873,2001-05-01,998,2001,5
70,1154799.0756806124,1850564.5073838087,2001-05-01,288,2001,5
71,1169010.3149361743,1850106.2480561812,2001-05-01,1046,2001,5
72,1163974.6939294208,1838749.8368157928,2001-05-01,135,2001,5
73,1171110.1595550596,1840388.6295198626,2001-05-01,431,2001,5
74,1153615.4194916761,1832015.3475791754,2001-05-01,93,2001,5
75,1165684.4159703245,1830228.9771308429,2001-05-01,337,2001,5
76,1103795.0892087778,1934035.936059137,2001-05-01,275,2001,5
77,1166380.2824219316,1938460.0065355555,2001-05-01,466,2001,5
1,1164480.3670969477,1946794.6658478852,2001-06-01,644,2001,6
2,1157749.8280517957,1943809.189041452,2001-06-01,422,2001,6
3,1168489.7751756336,1930860.1225962283,2001-06-01,735,2001,6
4,1159860.137089553,1934204.1330181102,2001-06-01,299,2001,6
5,1160936.58458251,1924234.5553939813,2001-06-01,321,2001,6
6,1168519.473651409,1922994.077535171,2001-06-01,827,2001,6
